source_key,display_name,location
global_journeys,Global Journeys,Australia
inside_australia,Inside Australia,Australia
australia_com,Australia.com,Australia
absolute_australia,Absolute Australia,Australia
discover_tasmania,Discover Tasmania,Australia
jacada,Jacada,UK
kesari,Kesari,India
queensland_com,Queensland.com,Australia
scott_dunn,Scott Dunn,UK
sydney_com,Sydney.com,Australia
visitvictoria_com,Visit Victoria,Australia
westernaustralia_com,Western Australia.com,Australia
veena_world,Veena World,India
sotc,SOTC,India
make_my_trip,MakeMyTrip,India
chan_brothers,Chan Brothers,Singapore
anzcro,ANZCRO,New Zealand
hayleys_travels,Hayleys Travels,Sri Lanka
acorn_prime,Acorn Prime,Sri Lanka
black_tomato,Black Tomato,UK
thomas_cook,Thomas Cook,India
alquemie,Alquemie,Australia
ozsidekick,OzSidekick,Australia
bhagyashree_tours,Bhagyashree Tours,India
fiesta_vacations,Fiesta Vacations,India
madura_travel,Madura Travel,India
gt_holidays,GT Holidays,India
kulin_kumar,Kulin Kumar,India
alpitour,Alpitour,Italy
